# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401550883","2023","1","regular","2023-08-26T17:00:00.000Z","false","true","false","false","","5910","Callaway Stadium","548","LaGrange College","USA South","iii","","","","","","125762","Florida Memorial University","","","","","","","","","",""
"401525434","2023","1","regular","2023-08-26T18:30:00.000Z","false","true","true","false","49000","3504","Aviva Stadium","87","Notre Dame","FBS Independents","fbs","42","","0.998958343504533","1733","1819","2426","Navy","American Athletic","fbs","3","","0.0010416564954669472","1471","1385","1.3469076611","",""
"401540199","2023","1","regular","2023-08-26T19:30:00.000Z","false","true","true","false","","3689","Cramton Bowl","2382","Mercer","Southern","fcs","17","","0.9741514648169352","","","2453","North Alabama","UAC","fcs","7","","0.025848535183064847","","","6.8969089314","",""
"401520145","2023","1","regular","2023-08-26T21:30:00.000Z","false","true","false","true","17982","3662","JSU Stadium","55","Jacksonville State","Conference USA","fbs","17","","0.40800060036319785","1500","1499","2638","UTEP","Conference USA","fbs","14","","0.5919993996368021","1369","1370","6.8213333937","",""
"401525450","2023","1","regular","2023-08-26T23:00:00.000Z","false","true","false","false","15356","3601","Aggie Memorial Stadium","166","New Mexico State","Conference USA","fbs","30","","0.23924886339745693","1322","1274","113","UMass","FBS Independents","fbs","41","","0.760751136602543","1074","1122","5.3114933750","",""
"401532392","2023","1","regular","2023-08-26T23:00:00.000Z","false","true","false","false","23867","7311","Snapdragon Stadium","21","San Diego State","Mountain West","fbs","20","","0.9544687299546838","1488","1497","195","Ohio","Mid-American","fbs","13","","0.04553127004531621","1482","1473","6.5473781337","",""
"401540628","2023","1","regular","2023-08-26T23:00:00.000Z","false","true","false","false","","4419","Bob Ford Field","399","Albany","CAA","fcs","34","","0.9225171428210445","","","2230","Fordham","Patriot","fcs","13","","0.07748285717895553","","","5.6087575891","",""
"401539999","2023","1","regular","2023-08-26T23:30:00.000Z","false","true","true","false","","4246","Georgia State Stadium","2296","Jackson State","SWAC","fcs","37","","0.9989029618829928","","","2569","South Carolina State","MEAC","fcs","7","","0.0010970381170072319","","","3.1223435448","",""
"401520147","2023","1","regular","2023-08-26T23:30:00.000Z","false","true","false","false","21407","3973","Vanderbilt Stadium","238","Vanderbilt","SEC","fbs","35","","0.18084618805030608","1322","1327","62","Hawai'i","Mountain West","fbs","28","","0.8191538119496939","1246","1241","5.2820326034","",""
"401523986","2023","1","regular","2023-08-27T00:00:00.000Z","false","true","false","false","63411","477","Los Angeles Memorial Coliseum","30","USC","Pac-12","fbs","56","","0.9982308679413001","1663","1713","23","San José State","Mountain West","fbs","28","","0.0017691320586998849","1462","1412","1.6987296464","",""
