Team,Wins,Losses,Distribution
Tufts,6,3,0.11900477967806022
Wesleyan,6,3,0.11698777857364577
Hamilton,3,6,0.11211876050028305
Southern Arkansas,9,2,0.10489135685847571
Case Western Reserve,7,3,0.10201394628841741
Colby,3,5,0.1015038073489131
Middlebury,7,1,0.09958727025986387
Carnegie Mellon,9,1,0.09893998954413888
Geneva College,4,6,0.09839163086428998
Bowdoin,4,4,0.09644655507162168
Allegheny,3,7,0.09609747879183474
Williams,2,6,0.09393673280874815
Westminster PA,6,4,0.09283825164554439
Ouachita Baptist,9,2,0.09242806786946074
Amherst College,4,5,0.0924164110409956
Grove City College,10,0,0.09225514197710963
Trinity (CT),7,1,0.09071452695451515
Southern Nazarene,6,5,0.09041420372931605
Arkansas Tech,5,6,0.08999794651196602
Southeastern Oklahoma,5,6,0.08960619600175569
Bethany (WV),0,10,0.08864665090507584
Waynesburg,2,8,0.08827747982227262
Northwestern Oklahoma State,1,10,0.08314806606275398
Henderson State,9,2,0.08280618413066528
Washington & Jefferson,8,2,0.0824910793503672
St. Vincent,3,7,0.08194288626403527
Arkansas-Monticello,2,9,0.07916069656933705
Thiel College,3,7,0.07810546454690125
Bates College,0,8,0.07728337776335514
Harding,11,0,0.07583840775800424
Oklahoma Baptist,6,5,0.07285528802982263
East Central,3,8,0.07241471246173913
Southwestern Oklahoma,0,11,0.06643887401670626
Northeastern State,1,10,0.035739578692351864
Northwest Missouri State,7,4,0.03338753305813511
Washburn,2,9,0.03290344169182063
Fort Hays State,7,4,0.03232994221541817
Missouri Southern State,5,6,0.030725293992528453
Emporia State,8,3,0.030684578949869024
Missouri Western,8,3,0.02966781290653785
Central Missouri State,10,1,0.029636932149323638
Central Oklahoma,5,6,0.028962654125207463
Pittsburg State,10,1,0.02747219001300283
Nebraska-Kearney,3,8,0.026828428565658206
Lincoln (MO),0,11,0.025584928237110963
Arkansas,4,8,0.006110119020378365
Franklin & Marshall,7,3,0.005973469931847421
Texas,12,1,0.005936715246283194
Tennessee,8,4,0.005931854915350821
Alabama,12,1,0.00592982156603576
Michigan State,4,8,0.005902360833797519
Florida State,13,0,0.005898039654640608
Texas A&M,7,5,0.005857941132531523
Georgia,12,1,0.005756521951321207
Kansas State,8,4,0.005755825185224588
Worcester Polytechnic,3,7,0.005736562995433089
Oregon,11,2,0.00569329398458727
LSU,9,3,0.00569087432169938
Christopher Newport,7,3,0.005663756784960671
Louisville,10,3,0.0056597591417122065
Washington,13,0,0.005657408395908114
Iowa,10,3,0.005627174915402223
Notre Dame,9,3,0.005480093769937933
Florida,5,7,0.005461376217903443
Hobart,8,2,0.005457539479219089
Ohio State,11,1,0.005445204915900128
Utah,8,4,0.005429182891872454
USC,7,5,0.005423636173852195
Mississippi State,5,7,0.005367688347415
Rensselaer,7,3,0.005353129230636444
Ursinus,7,3,0.005347556832431931
Rowan,5,5,0.005346926932899466
Fitchburg State,0,10,0.005288201910562259
Coast Guard,5,5,0.005266265193688911
Maryland,7,5,0.005260697959484098
Purdue,4,8,0.005259822776569563
Montclair State,5,5,0.005237432588778597
Norwich,1,9,0.005216360981965979
College of New Jersey,6,6,0.0052129736994933696
Nebraska,5,7,0.00520926696746833
UMass Dartmouth,9,1,0.00517945849528925
Dickinson,6,4,0.005164751067572082
Oklahoma,10,2,0.0051274803895563015
Michigan,13,0,0.005127413799021823
Arizona State,3,9,0.005105331814413196
Johns Hopkins,10,0,0.005089829344512428
Ole Miss,10,2,0.00507954153043585
Nichols,3,7,0.005051137982047467
Wisconsin,7,5,0.005048276109536435
Kentucky,7,5,0.005043213844675235
Missouri,10,2,0.005007456069065202
Rutgers,6,6,0.004997936530548693
UCF,6,6,0.0049835821547425975
Minnesota,5,7,0.004982554469060145
University of New England,6,4,0.004979840190672144
Salve Regina,8,2,0.004977704281827478
Penn State,10,2,0.004949034368935007
Washington State,5,7,0.004907553112719071
Kean,0,10,0.004890150115349313
Curry,3,7,0.004884736599289099
Baylor,3,9,0.0048424679069113295
Clemson,8,4,0.0048218836883003584
South Carolina,5,7,0.004818810320053281
North Carolina,8,4,0.004803844651216655
Husson,7,3,0.004803185787898448
Duke,7,5,0.004801816088150031
Illinois,5,7,0.0048000255214490925
MIT,4,5,0.004784327097930817
Mass Maritime,2,8,0.004784138183298629
Northwestern,7,5,0.0047717593995606055
Oregon State,8,4,0.00475069211947714
Indiana,3,9,0.0047299151921524046
Springfield,9,1,0.004715190974514342
Stanford,3,9,0.0047039134564890546
Arizona,9,3,0.004692717611544133
Dean College,2,8,0.004640839468494614
Oklahoma State,9,4,0.00462620216395366
William Paterson,2,8,0.0046166020968464476
Rochester,5,5,0.004593113300118924
Plymouth State,4,6,0.004583528053263938
Cincinnati,3,9,0.004572616076751692
Kansas,8,4,0.004564010920499933
Auburn,6,6,0.004545771693702386
Western Connecticut State,7,2,0.00454483429238926
Gettysburg,2,8,0.004538324989839476
Muhlenberg,9,1,0.004538257495336735
West Virginia,8,4,0.004525193888045113
NC State,9,3,0.004522754146198049
Ithaca,8,2,0.004489224247638967
Wake Forest,4,8,0.004478031325209609
Houston,4,8,0.004477861306293948
Worcester State College,1,8,0.004472756971400772
Union,9,1,0.004472701677148199
SMU,11,2,0.004468378237155022
Bridgewater State,7,3,0.004464597773678932
TCU,5,7,0.004449670896542021
Merchant Marine,7,2,0.004431213827517361
Buffalo State,2,8,0.004424295474454209
Colorado,4,8,0.004410741403809086
Mount St. Joseph,9,1,0.004399352314636304
Texas Tech,6,6,0.004391131988698132
Miami,7,5,0.0043709218797891095
Carroll (WI),5,5,0.00435310943837932
Tulane,11,2,0.004323823858894375
Pittsburgh,3,9,0.0043227089907463935
Salisbury,6,4,0.004316477654427543
Virginia,3,9,0.004314917964918171
Western New England,7,3,0.004269472977998955
St Lawrence,3,7,0.004264545296736811
UCLA,7,5,0.004264376234752616
Olivet College,4,6,0.0042514431969628945
SUNY Maritime,5,5,0.004221209604035489
BYU,5,7,0.0042134878326311135
Morrisville State,4,6,0.004192882596762339
Iowa State,7,5,0.004184313962458748
Vanderbilt,2,10,0.004182554651359295
Bridgewater (VA),7,3,0.004175469465944589
Temple,3,9,0.00416820669035121
Manchester,1,9,0.004152957192326024
